tconst,title,titleType,startYear,runtimeMinutes,averageRating,numVotes
tt0098211,Cyber-C.H.I.C.,movie,1990,102,2.3,234
tt0098278,Secret Scandal,movie,1990,85,5.6,22
tt0098344,Skinned Alive,movie,1990,80,3.4,466
tt0098372,Spirit of the Eagle,movie,1991,93,5.6,138
tt0098375,Spontaneous Combustion,movie,1990,97,4.8,2309
tt0098468,Things That Aren't There Anymore,tvMovie,1990,59,8.3,9
tt0098488,Tom et Lola,movie,1990,97,6.6,256
tt0098527,True Confessions of Tori Welles,video,1992,76,8.5,15
tt0098532,The Match Factory Girl,movie,1990,69,7.6,8923
tt0098588,Forbidden Love,movie,1990,91,6.9,163
tt0098629,Weininger's Last Night,movie,1990,105,7.1,49
tt0098736,Against the Law,tvSeries,1990,60,6.2,29
tt0098741,America' Funniest: Part II,tvSeries,1990,30,4.0,125
tt0098742,American Chronicles,tvSeries,1990,30,7.3,63
tt0098743,American Dreamer,tvSeries,1990,30,6.7,43
tt0098744,American Music Shop,tvSeries,1990,60,7.4,10
tt0098745,Babes,tvSeries,1990,30,6.9,67
tt0098746,Bagdad Cafe,tvSeries,1990,30,6.8,287
tt0098748,The Ben Stiller Show,tvSeries,1990,30,6.1,103
tt0098749,Class of Beverly Hills,tvSeries,1990,44,6.3,31095
tt0098750,Big Break,tvSeries,1990,60,6.1,8
tt0098751,Big Brother Jake,tvSeries,1990,30,6.1,50
tt0098752,Bill & Ted's Excellent Adventures,tvSeries,1990,30,6.5,1633
tt0098754,The New Adventures of the Black Stallion,tvSeries,1990,30,7.1,358
tt0098756,The Bradys,tvSeries,1990,60,5.7,255
tt0098757,Brewster Place,tvSeries,1990,30,6.8,62
tt0098758,Broken Badges,tvMiniSeries,1990,60,7.4,46
tt0098761,Capital News,tvSeries,1990,60,5.5,17
tt0098762,The Adventures of Super Mario Bros. 3,tvSeries,1990,11,7.0,935
tt0098763,The New Adventures of Captain Planet,tvSeries,1990,23,6.7,10541
tt0098764,Carol & Company,tvSeries,1990,30,7.4,82
tt0098768,City,tvSeries,1990,30,5.8,29
tt0098769,The Civil War,tvMiniSeries,1990,680,9.0,13551
tt0098772,Cop Rock,tvSeries,1990,60,4.3,479
tt0098773,Counterstrike,tvSeries,1990,60,7.4,176
tt0098774,The Crystal Maze,tvSeries,1990,60,8.2,1591
tt0098775,DEA,tvSeries,1990,60,7.4,19
tt0098776,The Dave Thomas Comedy Show,tvSeries,1990,30,5.7,27
tt0098778,Down Home,tvSeries,1990,30,5.7,13
tt0098779,Dracula: The Series,tvSeries,1990,22,7.7,223
tt0098780,Dream On,tvSeries,1990,30,7.5,2955
tt0098782,Drug Wars: The Camarena Story,tvMiniSeries,1990,270,6.6,563
tt0098783,E.A.R.T.H. Force,tvSeries,1990,60,6.9,29
tt0098786,Elvis - Good Rockin' Tonight,tvSeries,1990,30,8.2,182
tt0098789,Equal Justice,tvSeries,1990,60,6.6,95
tt0098790,Evening Shade,tvSeries,1990,30,6.9,1158
tt0098791,The Family Man,tvSeries,1990,30,6.6,26
tt0098792,A Family for Joe,tvSeries,1990,30,6.7,23
tt0098793,The Fanelli Boys,tvSeries,1990,30,7.6,46
tt0098795,Ferris Bueller,tvSeries,1990,30,5.1,533
tt0098796,Enemy's Enemy,tvMiniSeries,1990,398,6.8,536
tt0098798,The Flash,tvSeries,1990,48,7.2,6396
tt0098800,The Fresh Prince of Bel-Air,tvSeries,1990,22,7.9,120855
tt0098801,Gabriel's Fire,tvSeries,1990,60,7.2,106
tt0098802,Get a Life,tvSeries,1990,30,8.2,2303
tt0098803,The Girl from Tomorrow,tvSeries,1991,23,7.9,1077
tt0098804,Glory Days,tvSeries,1990,60,5.6,43
tt0098805,Going Places,tvSeries,1990,30,7.1,54
tt0098807,Good Grief,tvSeries,1990,30,7.9,36
tt0098808,Grand Slam,tvSeries,1990,60,8.1,43
tt0098809,Grand,tvSeries,1990,30,8.0,123
tt0098811,Gravedale High,tvSeries,1990,30,6.8,138
tt0098813,The Green Man,tvMiniSeries,1990,50,7.2,382
tt0098815,H.E.L.P.,tvSeries,1990,60,6.9,33
tt0098818,Harry and the Hendersons,tvSeries,1991,30,5.6,1168
tt0098820,Have I Got News for You,tvSeries,1990,29,7.9,4448
tt0098825,House of Cards,tvMiniSeries,1990,226,8.5,13193
tt0098826,Hull High,tvSeries,1990,60,7.9,172
tt0098830,In Living Color,tvSeries,1990,30,8.1,9526
tt0098831,The Rose and the Jackal,tvMovie,1990,100,6.3,127
tt0098832,Jackie Collins' Lucky/Chances,tvMiniSeries,1990,272,6.7,277
tt0098833,Jeeves and Wooster,tvSeries,1990,55,8.4,11639
tt0098834,The Storyteller: Greek Myths,tvMiniSeries,1990,95,8.2,1493
tt0098835,Jupiter Moon,tvSeries,1990,30,6.6,75
tt0098837,Keeping Up Appearances,tvSeries,1990,60,7.8,14021
tt0098838,The Fitzgeralds and the Kennedys,tvMiniSeries,1990,278,7.0,117
tt0098840,Kid 'n' Play,tvSeries,1990,30,5.8,147
tt0098844,Law & Order,tvSeries,1990,45,7.7,31637
tt0098845,Lenny,tvSeries,1990,30,7.6,13
tt0098847,Lifestories,tvSeries,1990,60,6.5,15
tt0098848,Little Rosie,tvSeries,1990,30,5.3,47
tt0098851,Maniac Mansion,tvSeries,1990,30,7.4,312
tt0098855,Married People,tvSeries,1990,30,7.6,49
tt0098856,The Marsha Warfield Show,tvSeries,1990,60,5.6,11
tt0098857,The Marshall Chronicles,tvSeries,1990,30,5.7,38
tt0098859,The Marzipan Pig,tvShort,1990,30,8.1,45
tt0098860,Match Game,tvSeries,1990,30,6.3,30
tt0098861,Merrie Melodies: Starring Bugs Bunny and Friends,tvSeries,1990,23,8.3,1334
tt0098864,Molloy,tvSeries,1990,30,6.4,47
tt0098867,My Talk Show,tvSeries,1990,30,7.8,36
tt0098868,Nasty Boys,tvSeries,1990,60,7.4,116
tt0098872,New Attitude,tvSeries,1990,30,7.8,24
tt0098877,Normal Life,tvSeries,1990,30,7.0,24
tt0098878,Northern Exposure,tvSeries,1990,60,8.3,14969
tt0098880,On Scene: Emergency Response,tvSeries,1990,30,7.8,5
tt0098882,One Foot in the Grave,tvSeries,1990,90,7.8,5595
tt0098884,Over My Dead Body,tvSeries,1990,60,7.5,33
tt0098887,Parenthood,tvSeries,1990,60,5.6,258
tt0098888,Parker Lewis Can't Lose,tvSeries,1990,30,7.9,5052
tt0098889,Chillers,tvSeries,1990,50,6.8,91
tt0098891,Peter Pan and the Pirates,tvSeries,1990,30,7.3,588
tt0098898,Mobil Masterpiece Theatre: Prime Suspect,tvMiniSeries,1991,207,8.4,6626
tt0098900,Tales from Avonlea,tvSeries,1990,60,8.5,3932
tt0098907,Shades of LA,tvSeries,1990,60,7.8,21
tt0098908,Shannon's Deal,tvSeries,1990,60,8.7,87
tt0098911,Shortland Street,tvSeries,1992,30,4.7,848
tt0098912,The Silver Chair,tvSeries,1990,30,7.1,1819
tt0098915,Sugar and Spice,tvSeries,1990,30,5.8,14
tt0098916,Sunset Beat,tvSeries,1990,60,4.1,33
tt0098917,Super Force,tvSeries,1990,30,7.1,312
tt0098919,Swamp Thing,tvSeries,1990,30,6.5,737
tt0098922,Sydney,tvSeries,1990,30,7.8,43
tt0098923,TECX,tvSeries,1990,50,7.2,21
tt0098924,TaleSpin,tvSeries,1990,30,7.6,13392
tt0098927,They Came from Outer Space,tvSeries,1990,60,6.7,144
tt0098929,Steven Spielberg Presents... Tiny Toon Adventures,tvSeries,1990,21,7.5,11794
tt0098931,Top Cops,tvSeries,1990,60,7.5,47
tt0098932,The Trials of Rosie O'Neill,tvSeries,1990,60,8.1,79
tt0098933,True Colors,tvSeries,1990,30,7.0,143
tt0098934,True Detectives,tvSeries,1990,60,7.3,34
tt0098936,Twin Peaks,tvSeries,1990,47,8.8,173573
tt0098937,Uncle Buck,tvSeries,1990,30,5.4,138
tt0098944,WIOU,tvSeries,1990,60,7.7,30
tt0098945,Waiting for God,tvSeries,1990,30,7.7,1591
tt0098947,What a Dummy,tvSeries,1990,30,4.9,35
tt0098948,Wings,tvSeries,1990,30,7.2,10686
tt0098950,The Wizard of Oz,tvSeries,1990,30,6.8,182
tt0098951,Working Girl,tvSeries,1990,30,6.6,117
tt0098952,Working It Out,tvSeries,1990,30,7.0,12
tt0098955,You Take the Kids,tvSeries,1990,30,7.5,8
tt0098957,Zorro: The Legend Continues,tvSeries,1990,30,6.8,1476
tt0098958,His Nickname Is Beast,movie,1990,88,5.4,167
tt0098959,...Almost,movie,1990,84,5.3,113
tt0098961,Sheherazade,movie,1990,98,5.5,861
tt0098962,12:01 PM,short,1991,25,7.6,1256
tt0098963,1871,movie,1990,100,6.2,44
tt0098965,3 Little Ninjas and the Lost Treasure,movie,1993,100,2.0,698
tt0098966,Three Men and a Little Lady,movie,1990,104,5.5,22727
tt0098967,Boiling Point,movie,1990,96,6.8,6078
